Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
Curly-haired Bichon (white),Bichon Frise (White),"The pure white coat is the standard coat color of the bear, with a gentle and lovely personality.",France,12-15 years,3-5Kg,23-30cm,"Lovely, docile, lively",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Clean your eyes regularly to prevent tear stains,"Patellar dislocation, tear marks, skin allergies",toy,small,4,1,2,Yes
Maltese dog,Maltese,"Maltese small toy dog, with a snow-white and smooth coat, a gentle and elegant personality, and no shedding.",Malta,12-15 years,2-4Kg,20-25cm,"Graceful, docile, clingy",1. 30 minutes of indoor interaction every day; 2-Brush the coat daily to keep it white. 3 Regularly trim hair to prevent knotting,"Patellar dislocation, tracheal collapse, tear marks",toy,small,4,1,1,Yes
Shishi Dog,Shih Tzu,"Traditional Chinese toy dog, originating from Xizang, with gorgeous fur and gentle personality.",China,12-14 years,4-7Kg,23-27cm,"Docile, family, lively",1. 30 minutes of light exercise per day; 2-Daily grooming to prevent knotting. 3 Clean the face regularly to prevent tear stains,"Patellar dislocation, dacryocystitis, kidney disease",toy,small,3,5,2,Yes
Lasa Dog,Lhasa Apso,"Xizang is an ancient breed of dog, with thick and long fur, independent and alert personality, and is a temple guard dog.",China Xizang,12-15 years,6-8Kg,25-28cm,"independence, vigilance, loyalty",1. 30-minute walk every day; 2-Brush long hair four times a week to prevent knotting. 3 Pay attention to obedience training and correct stubbornness,"Poor hip development, eye disease, kidney problems",NON-sporting,small,3,5,2,Yes
Pine Lion Dog,Chow Chow,"Chinese native dog, medium size, thick fur, blue tongue, stable and independent personality.",China,9-15 years,20-32Kg,46-56cm,"Steady, loyal, independent",1. 1.5 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Early socialization to avoid apathy,"hip dysplasia, thyroid disease, eye disease",NON-sporting,medium,2,5,3,No
Sharpi dog,Chinese Shar-Pei,"Chinese native dogs have wrinkled skin, short and hard fur, and a calm personality.",China,8-12 years,16-25Kg,46-51cm,"Steady, loyal, vigilant",1. 1 hour of exercise per day; 2. Clean skin wrinkles daily; 3. Regularly check your eyes to prevent inversion of the eyelids,"Skin infection, hip dysplasia, eyelid inversion",NON-sporting,medium,2,2,2,No
French Bulldog,French Bulldog,"French small dog, with a flat face and a gentle and clingy personality, is one of the most popular companion dogs.",France,10-12 years,8-14Kg,27-35cm,"Docile, clingy, cheerful",1. 30 minutes of light exercise per day; 2-Brush short hair once a week. 3 Regularly clean skin folds,"Short nose syndrome, skin infection, hip dysplasia",NON-sporting,small,3,2,2,Yes
British Bulldog,English Bulldog,"United Kingdom medium-sized dog, strong, flat face, steady and loyal personality.",United Kingdom,8-Ten years,18-25Kg,31-40cm,"Stable, loyal, docile",1. 30-minute walk every day; 2-Brush short hair once a week. 3 Regularly clean skin folds,"Short nose syndrome, hip dysplasia, skin infection",NON-sporting,medium,2,2,2,Yes
Pug dog,Pug,"Chinese small dog, flat face, gentle and clingy personality, cute appearance.",China,12-15 years,6-8Kg,25-28cm,"Docile, clingy, lively",1. 30 minutes of light exercise per day; 2. Cleans facial wrinkles daily; 3 Control weight and prevent obesity,"Short nose syndrome, skin infection, eye disease",toy,small,3,2,2,Yes
Shiba Inu,Shiba Inu,"Japanese small dogs are lively and independent, with a cute appearance, and are the most popular breed of Japanese dogs.",Japan,12-15 years,6-10Kg,35-41cm,"Lively, independent, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat 1-2 times a week. 3 Use positive methods in training to avoid stubbornness,"hip dysplasia, cataracts, thyroid disease",NON-sporting,small,3,3,3,Yes
Akita Dog,Akita,"Japanese large dogs, loyal and brave, are the national dogs of Japan.",Japan,10-13 years,34-54Kg,61-71cm,"Loyalty, bravery, vigilance",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 .Strict training to avoid aggression,"hip dysplasia, thyroid disease, progressive retinal atrophy",working,large,3,4,4,No
Husky,Siberian Husky,"Siberian sled dogs, with a lively and mischievous personality and a handsome appearance, are the most popular sled dogs.",Russia,12-15 years,16-27Kg,50-60cm,"Lively, mischievous, family","1.-2.5 hours of exercise per day, including running. 2-Brush the coat 2-3 times a week. 3 .Leave the dog to prevent getting lost","hip dysplasia, cataracts, skin allergies",working,medium,3,4,5,Yes
Alaskan Sled Dog,Alaskan Malamute,The Alaskan large sled dog is larger than the Husky and has a more stable personality.,United States,10-12 years,34-38Kg,58-64cm,"Steady, loyal, gentle",1. 2. 5 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Control diet to prevent obesity,"Poor hip joint development, poor elbow development, gastric torsion",working,large,3,5,5,Yes
Samoyed dog,Samoyed,"Siberian sled dog, with thick white fur, smiling face, and lively personality.",Russia,12-14 years,16-30Kg,48-60cm,"Lively, family, cheerful",1. 2 hours of exercise per day; 2-Brush the thick coat three times a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, progressive retinal atrophy, thyroid disease",working,medium,3,5,4,Yes
Golden Retriever,Golden Retriever,"The United Kingdom large sports dog, gentle and family-friendly, is the most popular family companion dog and guide dog.",United Kingdom,10-12 years,25-34Kg,55-61cm,"Friendly, gentle, confident",1. grooming 3 to 4 times a week; 2-Exercise for at least 60 minutes a day. 3. Likes swimming and retracement games,"hip dysplasia, elbow dysplasia, allergies",sporting,medium,5,3,4,Yes
Labrador Retriever,Labrador Retriever,"The Canadian large sports dog, with a gentle and loyal personality, is the most popular guide dog and family companion dog.",Canada,10-12 years,25-36Kg,54-57cm,"Docile, loyal, lively",1. 1.5 hours of exercise per day; 2-Brush short hair 1-2 times a week. 3 Control your diet and avoid excessive obesity,"hip dysplasia, elbow dysplasia, progressive retinal atrophy",sporting,large,5,2,4,Yes
border collie,Border Collie,"United Kingdom sheepdogs, ranked first in IQ, are good at sheep herding and agility.",United Kingdom,12-15 years,14-20Kg,46-54cm,"Smart, quick, loyal","1. Exercise for more than 2 hours per day, including intellectual training; 2-Brush the coat twice a week. 3. Give clear instructions to avoid excessive excitement","hip dysplasia, progressive retinal atrophy, epilepsy",herding,medium,5,3,5,Yes
German Shepherd,German Shepherd,"German Shepherds, strong in size, loyal and brave in character, are one of the best working dogs.",Germany,9-13 years,22-40Kg,55-65cm,"Loyalty, bravery, obedience",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Socialize from an early age to avoid aggression,"hip dysplasia, elbow dysplasia, pancreas dysfunction",herding,large,5,4,5,Yes
Doberman dog,Doberman Pinscher,"German large guard dog, with a strong physique, brave and loyal personality, is an excellent military and police dog.",Germany,10-13 years,30-40Kg,66-72cm,"Courage, loyalty, obedience",1. 2 hours of exercise per day; 2-Brush short hair 1-2 times a week. 3 Regularly check the heart to prevent cardiomyopathy,"hip dysplasia, dilated cardiomyopathy, thyroid disease",working,large,5,2,5,No
Rottweiler dog,Rottweiler,"German large guard dog, calm personality, extremely strong protection ability, is an excellent family guard dog.",Germany,8-Ten years,35-60Kg,56-69cm,"Steady, loyal, brave",1. 2 hours of exercise per day; 2-Brush short hair once a week. 3 Strict socialization from an early age to avoid aggression,"hip dysplasia, elbow dysplasia, dilated cardiomyopathy",working,large,4,2,4,No
Poodle,Poodle,"French dog breed, ranked second in IQ, with three body types: standard, mini, and toy, and intelligent and lively personality.",France,12-15 years,3-32Kg,24-60cm,"Smart, lively, loyal",1. 1 to 2 hours of exercise per day; 2-Regularly trim the coat; 3 Pay attention to intellectual training to prevent boredom,"hip dysplasia, cataracts, epilepsy",NON-sporting,medium,5,1,4,Yes
Bichon Dog,Bichon Frise,"French small toy dog, with white curly fur, gentle and lively personality, does not shed fur, suitable for allergic constitution.",France,12-15 years,3-5Kg,23-30cm,"Docile, lively, family",1. 1 hour of exercise per day; 2 .Broom the curly coat twice a week; 3. Regularly trim hair to maintain shape,"Patellar dislocation, cataracts, skin allergies",toy,small,4,1,2,Yes
Schnauzer,Schnauzer,"German terriers come in three sizes: mini, standard, and giant. They have coarse and hard fur and are intelligent and alert.",Germany,12-15 years,4-45Kg,30-70cm,"Smart, vigilant, loyal",1. 1 to 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week and pluck it regularly. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, cataracts, skin problems",terrier,medium,4,3,4,Yes
Corgis,Welsh Corgi,"Welsh Shepherds, divided into Pembroke and Cardigan, are short and strong, with a lively and lovely personality.",Wales,12-15 years,10-17Kg,25-33cm,"Lively, family, smart",1. Exercise for 1.5 hours a day and avoid climbing stairs. 2-Control weight and protect the lumbar spine. 3. Brush the coat 1-2 times a week,"hip dysplasia, degenerative myelopathy, obesity",herding,medium,4,3,3,Yes
Chihuahua,Chihuahua,"The smallest breed of dog in the world, divided into short and long hair, with a lively and clingy personality.",Mexico,12-20 years,1-3Kg,15-23cm,"Lively, clingy, brave",1. 30 minutes of light exercise per day; 2-Pay attention to keeping warm and avoiding cold; 3. Avoid falling from heights and protect your body,"Patellar dislocation, tracheal collapse, hypoglycemia",toy,small,3,1,1,No
Yorkshire terrier,Yorkshire Terrier,"United Kingdom small terrier with long and smooth hair, lively and intelligent personality, and cute appearance.",United Kingdom,12-15 years,2-3Kg,20-23cm,"Lively, clingy, smart",1. 30 minutes of indoor exercise every day; 2-Daily grooming of long hair to prevent knotting. 3. Regularly trim hair for easy care,"Patellar dislocation, tracheal collapse, periodontal disease",terrier,small,4,5,2,Yes
United Kingdom Springer Dog,English Springer Spaniel,"Originating from United Kingdom, it is a classic sport dog, good at finding and tracking, often used as a hunting aid dog or drug-sniffing dog",United Kingdom,12-14 years,18-23,46-48,"Docile, lively, loyal",1. 1-2 hours of outdoor exercise per day; 2-Regularly comb the fur to prevent knotting. 3 Social training from a young age to prevent vigilance,"hip dysplasia, progressive retinal atrophy, ear infection",sporting,medium,4,3,5,Yes
Irish Sheddar Dog,Irish Setter,"From Ireland, with a gorgeous red coat, very athletic ability, is an excellent hunting dog and companion dog",Ireland,10-12 years,25-34,61-69,"Enthusiastic, cheerful, and agile",1. Requires a lot of running space and is not suitable for apartments; 2-Deep combing 3 times a week; 3 Training requires patience to avoid roughness,"hip dysplasia, gastric torsion, hypothyroidism",sporting,large,4,4,5,Yes
Gordon Shedda Dog,Gordon Setter,"native to Scotland, medium size, black brown coat, both hunting ability and companion dog traits",Scotland,10-13 years,20-32,58-66,"Steady, smart, alert","1. Exercise for more than 1 hour per day, combined with grabbing games; 2-Regularly clean the ears to prevent otitis media. 3 .Integrate into the family and avoid being alone","Progressive retinal atrophy, hip dysplasia, skin allergies",sporting,medium,4,3,4,Yes
American Water Hound,American Water Spaniel,"Native American sports dog, good at water recovery, strong adaptability, suitable for families who love water activities",United States,10-14 years,11-20kg,38-46,"Lively, Brave, Family","1. 1.5 hours of exercise per day, increase swimming activities; 2-Dry the fur after swimming to prevent skin problems. 3 Positive motivation training","hip dysplasia, cataracts, ear infections",sporting,medium,4,3,5,Yes
Chesapeake Bay Retrieve Dog,Chesapeake Bay Retriever,"Originating from the United States, the fur is excellent waterproof, good at finding in cold water, tough character",United States,10-13 years,25-36,53-66,"Loyalty, bravery, calmness",1. High-intensity exercise for more than 2 hours per day; 2-Regularly trim the foot mat hair to prevent slipping. 3 Obedience training from childhood to avoid stubbornness,"hip dysplasia, progressive retina atrophy, gastric torsion",sporting,large,3,3,5,Yes
Brittany Dog,Brittany,"From France, compact and agile, a good bird-hunting dog and a docile family companion",France,12-14 years,13-18,44-52,"Lively, smart, family","1. 1. 1.5 hours of exercise per day, combined with agility training; 2-Regularly comb the coat to remove floating hair. 3. Avoid spoiling and guarding against willfulness","hip dysplasia, epilepsy, cataracts",sporting,medium,4,2,4,Yes
German short-haired instruction dog,German Shorthaired Pointer,"Originating from Germany, all-round sports dog with tracking, retrieval and guidance abilities, adapting to various hunting scenarios",Germany,10-12 years,20-32,53-64,"Smart, lively, obedient","1. Exercise for more than 2 hours a day, requiring complex training; 2-Regularly check the oral cavity to prevent periodontal disease; 3 Establish a close connection with the owner","hip dysplasia, gastric torsion, hypothyroidism",sporting,large,5,3,5,Yes
German Hard Haired Indicator Dog,German Wirehaired Pointer,"A variant of German short-haired indicator dog, with coarse and hard coat, more resistant to harsh environments, and outstanding hunting ability",Germany,10-12 years,22-32,54-64,"Tough, smart, alert","1. 2 hours of exercise per day, suitable for outdoor activities; 2-Brush the coat 1-2 times a week. 3 Training requires clear instructions","hip dysplasia, progressive retinal atrophy, skin inflammation",sporting,large,4,3,5,Yes
Pointer,English Pointer,"Classic indicator dog, native to United Kingdom, maintains a ""indicating"" posture when finding prey, gracefully moves",United Kingdom,12-14 years,20-34,61-71,"Docile, quick, loyal","1. 1.5 hours of exercise per day, follow-up training; 2-Regularly comb short hair to keep it clean. 3 Early social protection is not friendly to dogs","hip dysplasia, cataracts, hypothyroidism",sporting,large,4,2,4,Yes
Vizra dog,Vizsla,"Originating from Hungary, the fur is golden yellow, and the character is gentle. It is not only an excellent hunting dog but also a caring companion dog",Hungary,10-14 years,20-30,53-64,"Passionate, family, sensitive","1. Exercise for 1.5 hours a day, not suitable for long-term alone time; 2-Regularly comb and remove short hair; 3 Give enough care to prevent anxiety","hip dysplasia, progressive retina atrophy, gastric torsion",sporting,large,4,2,4,Yes
Hungarian Hardhaired Vizra,Hungarian Wirehaired Vizsla,"A hard-haired variant of the Vizra dog, more resistant to rough terrain, strong hunting ability, and lively personality",Hungary,10-14 years,22-30,53-64,"Tough, lively, loyal","1. 2 hours of exercise per day, suitable for outdoor hunting simulation; 2. Brush the hard hairs 1-2 times a week; 3 Training combined with reward mechanism","hip dysplasia, eye diseases, skin allergies",sporting,large,4,3,5,Yes
Spanish Boeing Dog,Spanish Pointer,"Originating from Spain, medium size, flexible movement, good at hunting in the mountains, strong adaptability",Spain,12-14 years,18-25,50-62,"Smart, alert, lively","1. 1.5 hours of exercise daily, mountain running training; 2-Regularly clean the ears to prevent infection. 3 Obedience training from a young age to prevent dissatisfaction","hip dysplasia, cataracts, hypothyroidism",sporting,medium,4,2,4,Yes
Italian Boeing Dog,Italian Pointer,"Italian native sport dog with short, smooth coat, a keen sense of smell, and good at tracking small prey",Italy,12-14 years,18-25,50-60,"Docile, quick, and family","1. 1 hour of exercise per day, suitable for urban families; 2. Regularly wipe the coat to keep it clean. 3 .Integrate into family activities to avoid loneliness","hip dysplasia, retinitis pigmentosa, skin problems",sporting,medium,3,2,3,Yes
French Boeing Dog,French Pointer,"Originating from France, elegant in size, light in movement, both a hunting dog and an excellent display dog",France,10-12 years,24-30,60-67,"Graceful, smart, docile","1. 1.5 hours of exercise per day, combined with jumping training; 2-Regularly comb short hair to reduce floating hair; 3 Training requires patience and avoid impatience","hip dysplasia, cataracts, gastric torsion",sporting,large,4,2,4,Yes
United Kingdom Cocker Dog,English Cocker Spaniel,"Native to United Kingdom, small in size, fluffy fur, lively personality, is a popular family companion dog and hunting dog",United Kingdom,12-15 years,11-15kg,38-41,"Lively, family, cheerful","1. 1 hour of exercise daily, short walks + games; 2-Brush the coat 2-3 times a week to prevent knotting. 3 Pay attention to oral hygiene and brush your teeth regularly","hip dysplasia, progressive retinal atrophy, ear infection",sporting,medium,4,3,3,Yes
American Cocker Dog,American Cocker Spaniel,"American-bred variant of the Cocker Dog, slightly smaller, more gorgeously coat, more docile character",United States,12-15 years,10-13kg,34-38,"Docile, family, clingy","1. 1 hour of exercise per day, suitable for apartments (interactivity required); 2-Brush the fur three times a week and take care of the ears. 3 Avoid overfeeding to prevent obesity","hip dysplasia, cataracts, skin allergies",sporting,medium,4,4,3,Yes
Irish Water Hound,Irish Water Spaniel,"Originating from Ireland, it is the largest breed of water hounds. It is good at swimming and has a curly coat",Ireland,10-13 years,22-28,51-58,"Smart, brave, lively","1. 2 hours of exercise per day, including swimming; 2-Brush the curly coat 2-3 times a week. 3 Training needs to challenge intelligence to prevent boredom","hip dysplasia, progressive retina atrophy, gastric torsion",sporting,large,4,4,5,Yes
Curly Hair Retrieving Dog,Curly-Coated Retriever,"Originating from United Kingdom, the fur is tightly curled, good waterproof, good at water recovery, stable personality",United Kingdom,10-12 years,25-35,51-61,"Steady, loyal, smart","1. 1.5 hours of exercise per day, combined with swimming and recovery; 2 .Broom the curly coat twice a week; 3. Regularly check the skin to prevent fungal infections","hip dysplasia, cataracts, hypothyroidism",sporting,large,4,3,4,Yes
Flat-haired Retriever,Flat-Coated Retriever,"Originating from United Kingdom, smooth coat, agile movement, strong ability to find, lively personality",United Kingdom,10-14 years,25-32,56-61,"Lively, loyal, agile","1. 2 hours of exercise per day, suitable for outdoor recovery training; 2-Brush the quilt 1-2 times a week to ensure smoothness. 3 Frequent interaction with the host to prevent anxiety","hip dysplasia, progressive retina atrophy, gastric torsion",sporting,large,4,3,5,Yes
Golden Retriever (English),Golden Retriever (British Type),"The Golden Retriever bred by United Kingdom has a thicker body, thicker coat, and a more stable personality",United Kingdom,10-12 years,25-34,55-61,"Docile, loyal, family","1. 1.5 hours of exercise every day, with obedience training; 2-Brush and remove hair 2-3 times a week. 3 Control diet to prevent obesity and joint problems","hip dysplasia, elbow dysplasia, progressive retinal atrophy",sporting,large,5,4,4,Yes
Golden Retriever (American),Golden Retriever (American Type),"American-bred Golden Retriever variant, with a longer body, lighter coat, and more lively personality",United States,10-12 years,25-32,51-56,"Lively, family, smart","1. 2 hours of exercise per day, suitable for family games; 2-Brush the coat twice a week, increasing the frequency during the hair shedding period. 3 Early social defense against strangers","hip dysplasia, elbow dysplasia, hypothyroidism",sporting,large,5,4,4,Yes
Labrador Retriever (Black),Labrador Retriever (Black),"Classic Labrador variant, black coat, gentle personality, excellent guide dog and family companion dog",Canada,10-12 years,25-36,54-57,"Docile, loyal, obedient","1. 1.5 hours of exercise daily, recovery + obedience training; 2-Brush short hair 1-2 times a week for cleaning. 3 Control diet to avoid excessive obesity","hip dysplasia, elbow dysplasia, progressive retinal atrophy",sporting,large,5,2,4,Yes
Labrador Retriever (Yellow),Labrador Retriever (Yellow),"Labrador common variant, covered with yellow hair (from light yellow to dark yellow), with a lively personality",Canada,10-12 years,25-36,54-57,"Lively, family, smart","1. 1.5 hours of exercise per day, suitable for family games; 2-Once a week, comb short hair to reduce floating hair. 3 Train the anti-pumping man with small rules","hip dysplasia, elbow dysplasia, hypothyroidism",sporting,large,5,2,4,Yes
Labrador Retriever (chocolate),Labrador Retriever (Chocolate),"Labrador rare variant, hairy chocolate color, steady character, few in number",Canada,10-12 years,25-36,54-57,"Stable, loyal, docile",1. 1.5 hours of exercise daily and olfactory training; 2-Brush short hair once a week and pay attention to sun protection for the skin. 3 Regular eye check-ups to prevent cataracts,"hip dysplasia, elbow dysplasia, progressive retinal atrophy",sporting,large,5,2,4,Yes
Border Collie (Black and White),Border Collie (Black & White),"Classic border collie variant, black and white coat, IQ number one, good at sheep herding and agile movement",United Kingdom (Scotland Borders),12-15 years,14-20,46-54,"Smart, quick, loyal","1. Exercise for more than 2 hours a day, including intellectual training; 2-Brush the coat twice a week, increasing the frequency during the shedding period. 3. Give clear instructions to prevent excitement","hip dysplasia, progressive retinal atrophy, epilepsy",herding,medium,5,3,5,Yes
Border Collie (brown and white),Border Collie (Brown & White),"Common variants of border collies, brown and white coat, similar in character to black and white variants, more docile",United Kingdom,12-15 years,14-20,46-54,"Docile, smart, quick","1. 2 hours of exercise daily, agility training + sheep herding simulation; 2-Brush the fur twice a week to care for long hair areas. 3. Avoid long-term isolation at the home","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,5,3,5,Yes
Border Collie (Meteorite),Border Collie (Merle),"A rare variant of the border collie, with a meteorite-like coat, lively personality, and special genetics",United Kingdom,12-15 years,14-20,46-54,"Lively, smart, alert","1.-2.5 hours of exercise per day, requiring complex training; 2-Brush the coat three times a week to prevent knotting. 3 Avoid meteorite color mating to prevent genetic diseases","hip dysplasia, progressive retinal atrophy, deafness",herding,medium,5,3,5,Yes
German Shepherd (Blackback),German Shepherd Dog (Black & Tan),"Classic German Shepherd variant, black back, yellow belly, strong body, excellent working dog and guard dog",Germany,9-13 years,22-40,55-65,"Loyalty, bravery, obedience","1. 2 hours of exercise daily, obedience + guard training; 2-Brush the coat twice a week, and comb it daily during the shedding period. 3 Early social anti-aggression","hip dysplasia, elbow dysplasia, pancreas dysfunction",herding,large,5,4,5,No
German Shepherd (All Black),German Shepherd Dog (All Black),"German Shepherd is a rare variant, black all over, with a more stable character and strong guarding ability",Germany,9-13 years,22-40,55-65,"Steady, loyal, brave","1. 2 hours of exercise daily, guard + tracking training; 2-Brush the coat twice a week and pay attention to skin cleanliness. 3 Training strict but gentle, avoiding violence","hip dysplasia, elbow dysplasia, progressive retinal atrophy",herding,large,5,4,5,No
German Shepherd (East Germany),German Shepherd Dog (East German Working Line),"German sheepdog bred in East Germany, more compact, more powerful, suitable for military and police use",Germany,9-13 years,22-40,55-65,"tenacity, obedience, bravery","1. 2.5 hours of exercise daily, high-intensity work training; 2-Brush the coat twice a week to keep it short and tidy. 3 Establish absolute trust with the owner","hip dysplasia, elbow dysplasia, hypothyroidism",herding,large,5,4,5,No
Belgian Shepherd (Marlinus),Belgian Malinois,"Often called ""horse dog,"" Belgian sheepdog variant, medium size, agile movement, is a top military police dog",Belgium,10-14 years,22-28,56-66,"Lively, brave, obedient","1. 3 hours of exercise every day, must be high-intensity training; 2-Brush and remove short hair 1-2 times a week. 3 Strict training from a young age to prevent loss of control","hip dysplasia, elbow dysplasia, progressive retinal atrophy",herding,medium,5,2,5,No
Belgian Shepherd (Tefron),Belgian Tervuren,"Belgian sheepdog variant, long and black brown coat, gentle character, both shepherding and companionship",Belgium,10-14 years,22-28,56-66,"Docile, smart, loyal","1. 2 hours of exercise daily, sheep herding + agility training; 2-Brush long hair 2-3 times a week to prevent knotting. 3 .Integrate into family life and avoid being alone","hip dysplasia, progressive retina atrophy, skin allergies",herding,medium,4,3,4,Yes
Belgian Shepherd (Ge Luanda),Belgian Groenendael,"Belgian sheepdog variant, long and all black coat, steady character, strong guarding ability",Belgium,10-14 years,22-28,56-66,"Steady, loyal, vigilant","1. 2 hours of exercise daily, guard + obedience training; 2-Brush long hair three times a week to take care of the neck. 3 Early social defense against strangers","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,4,3,4,No
Belgian sheepdog (Lakénova),Belgian Laekenois,"A rare variant of the Belgian sheepdog, with a coarse and hard coat, a light yellowish brown color, and a tough character",Belgium,10-14 years,22-28,56-66,"Tough, smart, brave","1. 2.5 hours of exercise daily, outdoor work training; 2-Brush rough and hard fur twice a week to remove debris. 3 Training combined with rewards to boost motivation","hip dysplasia, progressive retinal atrophy, skin inflammation",herding,medium,4,3,5,No
Australian sheepdog,Australian Shepherd,"Native to the United States (non-Australian), thick coat, diverse color, good at sheep herding and agile movement",United States,12-15 years,14-22,46-58,"Smart, lively, loyal","1. 2 hours of exercise daily, intellectual and physical training; 2-Brush the coat 2-3 times a week, increasing the frequency during the shedding period. 3 Avoid excessive excitement and barking","hip dysplasia, progressive retinal atrophy, epilepsy",herding,medium,5,4,5,Yes
Australian Bulldog,Australian Cattle Dog,"native to Australia, compact, short and tough coat, good at driving herds, tough character",Australia,12-16 years,15-22,43-51,"Tough, smart, alert","1. 2.5 hours of exercise daily, high-intensity work training; 2-Brush short hair once a week to maintain cleanliness. 3. Training to prevent heel bites from small rules","hip dysplasia, progressive retinal atrophy, deafness",herding,medium,4,2,5,Yes
Scottish sheepdog (coarse),Rough Collie,"Classic Scottish Shepherd variant, with long and fluffy fur and gentle character, is an excellent companion and sheepdog",United Kingdom (Scotland),12-14 years,18-27,56-66,"Docile, smart, family","1. 1.5 hours of exercise daily, walking + obedience training; 2-Brush long hair three times a week to prevent knotting. 3 Give enough care to prevent separation anxiety","hip dysplasia, progressive retinal atrophy, gastrointestinal sensitivity",herding,medium,4,4,3,Yes
Scottish Shepherd (short hair),Smooth Collie,"Scottish Shepherd variant, short and smooth coat, more lively character, easier to care for",United Kingdom (Scotland),12-14 years,18-27,56-66,"Lively, smart, loyal","1. 1.5 hours of exercise per day, suitable for family games; 2-Brush and remove short hair 1-2 times a week. 3 Early social protection is not friendly to pets","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,4,2,3,Yes
Happyty sheepdog,Shetland Sheepdog,"native to Scotland, smaller than the Scottish Shepherd, with long and gorgeous fur and gentle character",United Kingdom (Shetland Islands),12-15 years,6-12KG,33-41,"Docile, clingy, smart","1. 1 hour of exercise per day, suitable for apartments (interactivity required); 2-Brush long hair 2-3 times a week and take care of the ears. 3 Avoid shouting loudly to prevent the timid","hip dysplasia, progressive retinal atrophy, Collie eye abnormalities",herding,small,4,4,3,Yes
Pembroke Wales Corgi,Pembroke Welsh Corgi,"Common Corgi species, tailless (or short tail), short stout, lively personality, good at sheep herding",United Kingdom (Wales),12-15 years,10-14kg,25-30,"Lively, family, smart","1. Exercise for 1.5 hours a day to avoid obesity (short legs); 2-Brush short hair 1-2 times a week, increasing the frequency during the shedding period. 3 Control diet to prevent lumbar spine problems","hip dysplasia, degenerative myelopathy, obesity-related diseases",herding,medium,4,3,3,Yes
Cardigan Wales Corgi,Cardigan Welsh Corgi,"Corgi primitive breed, with long tail, slightly larger body, more stable personality, strong sheep herding ability",United Kingdom (Wales),12-15 years,11-17kg,25-33,"Steady, loyal, smart","1. 1.5 hours of exercise per day, sheep herding simulation training; 2-Brush short hair 1-2 times a week to keep it clean. 3. Regularly check the lumbar spine to prevent spinal cord problems","hip dysplasia, degenerative myelopathy, progressive retinal atrophy",herding,medium,4,3,3,Yes
Finnish laphound,Finnish Lapphund,"native to Finland, medium size, thick hair, good at reindeer herding, adaptable to cold environment",Finland,12-15 years,15-24,41-52,"Docile, lively, loyal","1. 2 hours of exercise per day, suitable for outdoor cold activities; 2-Brush the thick coat 2-3 times a week to prevent knotting. 3 .According to warm home environment to avoid temperature difference","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,4,4,4,Yes
Swedish Rapp Hound,Swedish Lapphund,"native to Sweden, similar to the Finnish laphound, with a slightly shorter coat and more alert personality",Sweden,12-15 years,15-23,40-51,"Vigilance, intelligence, loyalty","1. 2 hours of exercise daily, outdoor tracking training; 2-Brush and remove hair twice a week. 3 Early social defense against strangers","hip dysplasia, progressive retina atrophy, skin allergies",herding,medium,4,3,4,Yes
Icelandic sheepdog,Icelandic Sheepdog,"Originating from Iceland, small in size, thick in fur, good at herding sheep, lively in character",Iceland,12-16 years,9-14kg,33-41,"Lively, family, smart","1. 1.5 hours of exercise per day, suitable for family games; 2-Brush the thick coat 2-3 times a week to prevent tangling. 3. Avoid damp environments to prevent skin problems","hip dysplasia, progressive retinal atrophy, epilepsy",herding,small,4,4,3,Yes
Norwegian Buhad Dog,Norwegian Buhund,"native to Norway, medium size, coarse and hard coat, good at herding and guarding, tough character",Norway,12-15 years,12-18kg,41-46,"tenacity, loyalty, vigilance","1. 2 hours of exercise daily, outdoor work training; 2-Brush coarse and hard fur twice a week to remove debris. 3 Strict training to prevent over-guarding","hip dysplasia, progressive retinal atrophy, hypothyroidism",herding,medium,4,3,4,No
Polish lowland sheepdog,Polish Lowland Sheepdog,"native to Poland, medium-sized, long and curly hair, good at shepherding, gentle personality",Poland,12-15 years,14-16,41-51,"Docile, smart, loyal","1. 2 hours of exercise daily, sheep herding + agility training; 2-Brush the curled coat 3 to 4 times a week to prevent knotting. 3 Regularly trim your hair to keep it clean","hip dysplasia, progressive retinal atrophy, skin fungal infection",herding,medium,4,5,4,Yes
